Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2023),2022 Passengers (10% sample),,,,,,,,,,,
148,PIA,General Downing - Peoria International,Peoria,IL,370.29,484.33," 19,868 ",,,,,,,,,,,
149,AMA,Rick Husband Amarillo International,Amarillo,TX,403.15,527.31," 19,558 ",,,,,,,,,,,
150,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,455.16,595.33," 18,900 ",,,,,,,,,,,
151,BGR,Bangor International,Bangor,ME,423.76,554.27," 18,535 ",,,,,,,,,,,
152,FCA,Glacier Park International,Kalispell,MT,470.51,615.41," 18,363 ",,,,,,,,,,,
153,CAK,Akron-Canton Regional,Akron,OH,338.90,443.27," 18,054 ",,,,,,,,,,,
154,GRB,Green Bay Austin Straubel International,Green Bay,WI,562.69,735.98," 17,912 ",,,,,,,,,,,
155,MLI,Quad Cities International,Moline,IL,402.08,525.91," 17,389 ",,,,,,,,,,,
156,CRP,Corpus Christi International,Corpus Christi,TX,448.50,586.63," 17,271 ",,,,,,,,,,,
157,IDA,Idaho Falls Regional,Idaho Falls,ID,488.38,638.79," 17,158 ",,,,,,,,,,,
158,ROA,Roanoke Blacksburg Regional,Roanoke,VA,513.15,671.19," 16,923 ",,,,,,,,,,,
159,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,275.74,360.66," 16,643 ",,,,,,,,,,,
160,EYW,Key West International,Key West,FL,391.29,511.79," 16,593 ",,,,,,,,,,,
161,RAP,Rapid City Regional,Rapid City,SD,473.36,619.14," 16,117 ",,,,,,,,,,,
162,AGS,Augusta Regional at Bush Field,Augusta,GA,434.68,568.55," 16,049 ",,,,,,,,,,,
163,GNV,Gainesville Regional,Gainesville,FL,467.61,611.62," 15,832 ",,,,,,,,,,,
164,SHV,Shreveport Regional,Shreveport,LA,483.95,633.00," 15,683 ",,,,,,,,,,,
165,CHO,Charlottesville Albemarle,Charlottesville,VA,484.07,633.15," 15,468 ",,,,,,,,,,,
166,BIS,Bismarck Municipal,Bismarck/Mandan,ND,429.99,562.42," 15,467 ",,,,,,,,,,,
167,SBP,San Luis County Regional,San Luis Obispo,CA,525.88,687.84," 15,158 ",,,,,,,,,,,
168,TVC,Cherry Capital,Traverse City,MI,558.39,730.35," 14,978 ",,,,,,,,,,,
169,DAB,Daytona Beach International,Daytona Beach,FL,372.45,487.15," 13,817 ",,,,,,,,,,,
170,MOB,Mobile Regional,Mobile,AL,539.98,706.27," 13,542 ",,,,,,,,,,,
171,JNU,Juneau International,Juneau,AK,475.26,621.63," 13,402 ",,,,,,,,,,,
172,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,512.20,669.94," 13,097 ",,,,,,,,,,,
173,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,456.49,597.08," 12,893 ",,,,,,,,,,,
174,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,104.67,136.91," 12,856 ",,,,,,,,,,,
175,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,474.35,620.44," 12,548 ",,,,,,,,,,,
176,JAC,Jackson Hole,Jackson,WY,595.32,778.66," 12,352 ",,,,,,,,,,,
177,GJT,Grand Junction Regional,Grand Junction,CO,468.89,613.29," 11,763 ",,,,,,,,,,,
178,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,386.64,505.72," 11,364 ",,,,,,,,,,,
179,PVU,Provo Municipal,Provo,UT,92.45,120.92," 11,296 ",,,,,,,,,,,
180,LCK,Rickenbacker International,Columbus,OH,99.40,130.01," 11,282 ",,,,,,,,,,,
181,MLB,Melbourne Orlando International,Melbourne,FL,386.00,504.88," 10,953 ",,,,,,,,,,,
182,MRY,Monterey Regional,Monterey,CA,398.00,520.57," 10,873 ",,,,,,,,,,,
183,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,497.39,650.57," 10,728 ",,,,,,,,,,,
184,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,448.07,586.06," 10,358 ",,,,,,,,,,,
185,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,497.87,651.20," 9,810 ",,,,,,,,,,,
186,EVV,Evansville Regional,Evansville,IN,541.99,708.90," 9,387 ",,,,,,,,,,,
187,RFD,Chicago/Rockford International,Rockford,IL,145.86,190.77," 9,274 ",,,,,,,,,,,
188,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,704.04,920.86," 9,218 ",,,,,,,,,,,
189,LBE,Arnold Palmer Regional,Latrobe,PA,145.35,190.12," 9,092 ",,,,,,,,,,,
190,MTJ,Montrose Regional,Montrose/Delta,CO,556.53,727.93," 9,054 ",,,,,,,,,,,
191,BFL,Meadows Field,Bakersfield,CA,547.33,715.90," 8,923 ",,,,,,,,,,,
192,DRO,Durango La Plata County,Durango,CO,432.43,565.61," 8,918 ",,,,,,,,,,,
193,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,435.95,570.21," 8,869 ",,,,,,,,,,,
194,MOT,Minot International,Minot,ND,452.70,592.12," 8,807 ",,,,,,,,,,,
195,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,370.48,484.57," 8,758 ",,,,,,,,,,,
196,GTF,Great Falls International,Great Falls,MT,402.06,525.89," 8,402 ",,,,,,,,,,,
197,STX,Henry E. Rohlsen,Christiansted,VI,421.34,551.11," 8,289 ",,,,,,,,,,,
198,MGM,Montgomery Regional,Montgomery,AL,532.13,696.01," 8,028 ",,,,,,,,,,,
199,BRO,Brownsville South Padre Island International,Brownsville,TX,534.58,699.22," 7,585 ",,,,,,,,,,,
200,DLH,Duluth International,Duluth,MN,446.52,584.03," 7,502 ",,,,,,,,,,,
201,LRD,Laredo International,Laredo,TX,380.68,497.92," 7,490 ",,,,,,,,,,,
202,PSE,Mercedita,Ponce,PR,242.95,317.77," 7,458 ",,,,,,,,,,,
203,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,615.49,805.04," 7,025 ",,,,,,,,,,,
204,SGU,St George Regional,St. George,UT,290.35,379.77," 6,671 ",,,,,,,,,,,
205,SCE,University Park,State College,PA,580.51,759.29," 6,663 ",,,,,,,,,,,
206,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,269.47,352.46," 6,529 ",,,,,,,,,,,
207,RDD,Redding Regional,Redding,CA,570.11,745.69," 6,359 ",,,,,,,,,,,
208,GRK,Robert Gray AAF,Killeen,TX,451.94,591.12," 6,319 ",,,,,,,,,,,
209,HDN,Yampa Valley,Hayden,CO,586.90,767.66," 6,118 ",,,,,,,,,,,
210,EGE,Eagle County Regional,Eagle,CO,602.21,787.68," 5,888 ",,,,,,,,,,,
211,AEX,Alexandria International,Alexandria,LA,475.17,621.51," 5,783 ",,,,,,,,,,,
212,GFK,Grand Forks International,Grand Forks,ND,363.41,475.33," 5,737 ",,,,,,,,,,,
213,TOL,Eugene F Kranz Toledo Express,Toledo,OH,258.67,338.33," 5,651 ",,,,,,,,,,,
